name,translated_name,category,category_id,category_index,group,group_id,group_index,filename,youtube_link,description
ko-soto-gari,Minor Outer Reaping,ashi-waza,3,5,dai-nikyo,2,1,judo_3-05_ashi-waza_ko-soto-gari.gif,https://youtu.be/jeQ541ScLB4,A technique to reap the opponent’s right foot from the outside with the left foot and throw him down by breaking his balance backward.
ko-uchi-gari,Minor Inner Reaping,ashi-waza,3,6,dai-nikyo,2,2,judo_3-06_ashi-waza_ko-uchi-gari.gif,https://youtu.be/3Jb3tZvr9Ng,A technique to reap the opponent’s right foot from the inside with the right foot and throw him down by breaking his balance backward.
okuri-ashi-harai,Following Ankle Sweep,ashi-waza,3,7,dai-nikyo,2,5,judo_3-07_ashi-waza_okuri-ashi-harai.gif,https://youtu.be/nw1ZdRjrdRI,A technique to throw down the opponent by driving him leftward and sweep his right foot with the left foot so that both of his feet are put together.
uchi-mata,Inner Thigh Throw,ashi-waza,3,8,dai-nikyo,2,8,judo_3-08_ashi-waza_uchi-mata.gif,https://youtu.be/iUpSu5J-bgw,A technique to sweep up the opponent’s left inner thigh with the back of the right thigh and throw him down by breaking his balance forward.
ko-soto-gake,Minor Outer Hook,ashi-waza,3,9,sankyo,3,1,judo_3-09_ashi-waza_ko-soto-gake.gif,https://youtu.be/8b6kY4s4zH4,"A technique to throw down the opponent by breaking his balance backward, hooking the left foot or leg from the outside on his right leg and uplifting his body."
ashi-guruma,Foot Wheel,ashi-waza,3,10,sankyo,3,4,judo_3-10_ashi-waza_ashi-guruma.gif,https://youtu.be/ROeayhvom9U,"A technique to throw down the opponent by breaking his balance forward, putting the right leg on his right knee and rotating him on its axis."
harai-tsurikomi-ashi,Sweeping Lifting Pulling Ankle Throw,ashi-waza,3,11,sankyo,3,6,judo_3-11_ashi-waza_harai-tsurikomi-ashi.gif,https://youtu.be/gGPXvWL8VbE,A technique to sweep up the opponent’s ankle with the left foot from the front and throw him down by breaking his balance while lifting him up forward.
o-guruma,Major Wheel,ashi-waza,3,12,yonkyo,4,6,judo_3-12_ashi-waza_o-guruma.gif,https://youtu.be/SnZciTAY9vc,A technique to throw down the opponent by breaking his balance forward and putting the right leg around the area from his lower abdomen to upper part of thighs to rotate him on its axis.
o-soto-guruma,Major Outer Wheel,ashi-waza,3,13,gokyo,5,1,judo_3-13_ashi-waza_o-soto-guruma.gif,https://youtu.be/92KbCm6pQeI,A technique to throw down the opponent by breaking his balance backward and putting the right leg behind both of his legs to rotate him on its axis.
o-soto-otoshi,Major Outer Drop,ashi-waza,3,14,habukareta-waza,6,4,judo_3-14_ashi-waza_o-soto-otoshi.gif,https://youtu.be/2DsVvDw7b8g,A technique to throw down the opponent vertically by breaking his balance backward and sliding down the right leg on the back of his right thigh.
tsubame-gaeshi,Swallow Counter,ashi-waza,3,15,shinmeisho-no-waza,7,6,judo_3-15_ashi-waza_tsubame-gaeshi.gif,https://youtu.be/GwweWqqFB5g,A technique to throw down the opponent by fending off his foot sweeping attempt and counter-sweeping with the same foot that was being attacked.
o-soto-gaeshi,Major Outer Reversal,ashi-waza,3,16,shinmeisho-no-waza,7,9,judo_3-16_ashi-waza_o-soto-gaeshi.gif,https://youtu.be/8ZjM3X_EANo,A technique to throw down the opponent by counter-reaping his O-soto-gari attempt with the leg that is being attacked.
o-uchi-gaeshi,Major Inner Reversal,ashi-waza,3,17,shinmeisho-no-waza,7,8,judo_3-17_ashi-waza_o-uchi-gaeshi.gif,https://youtu.be/dCyZTXyjIXE,A technique to throw down the opponent by counter-reaping his O-uchi-gari attempt with the leg that is being attacked.
hane-goshi-gaeshi,Spring Hip Reversal,ashi-waza,3,18,shinmeisho-no-waza,7,12,judo_3-18_ashi-waza_hane-goshi-gaeshi.gif,https://youtu.be/9bZAZSBtnGs,A technique to throw down the opponent by counteracting his Hane-goshi attempt either to reap or hook his pivot foot from the outside with the foot or leg.
harai-goshi-gaeshi,Sweeping Hip Reversal,ashi-waza,3,19,shinmeisho-no-waza,7,10,judo_3-19_ashi-waza_harai-goshi-gaeshi.gif,https://youtu.be/4U3It-7PPsc,A technique to throw down the opponent by counteracting his Harai-goshi attempt either to reap or hook his pivot foot from the outside with the foot or leg.
uchi-mata-gaeshi,Inner Thigh Throw Reversal,ashi-waza,3,20,shinmeisho-no-waza,7,11,judo_3-20_ashi-waza_uchi-mata-gaeshi.gif,https://youtu.be/Sy6sLWxkWYw,A technique to throw down the opponent by counteracting his Uchi-mata attempt either to reap or hook his pivot foot from the outside with the foot or leg.
tomoe-nage,Circle Throw,ma-sutemi-waza,4,0,sankyo,3,7,judo_4-00_ma-sutemi-waza_tomoe-nage.gif,https://youtu.be/880WbHvHv6A,A technique to throw the opponent over the head by breaking his balance forward and putting the right sole on his lower abdomen while laying down the body onto the back.
sumi-gaeshi,Corner Reversal,ma-sutemi-waza,4,1,yonkyo,4,1,judo_4-01_ma-sutemi-waza_sumi-gaeshi.gif,https://youtu.be/5VhduA5xkbA,"A technique to throw the opponent over the head by breaking his balance forward, drawing his upper body closer, while grabbing his lapel or back with the right hand and laying down the body onto the back, and lifting up the inside of his left thigh with the right lower leg."
hikikomi-gaeshi,Pulling-in Reversal,ma-sutemi-waza,4,2,habukareta-waza,6,6,judo_4-02_ma-sutemi-waza_hikikomi-gaeshi.gif,https://youtu.be/92zUYWBp5N8,"A technique to throw the opponent over the head by breaking his balance forward, drawing his upper body closer, while grabbing the back of his belt with the right hand and laying down the body onto the back, and lifting up the inside of his left thigh with the right lower leg."
tawara-gaeshi,Rice Bale Reversal,ma-sutemi-waza,4,3,habukareta-waza,6,7,judo_4-03_ma-sutemi-waza_tawara-gaeshi.gif,https://youtu.be/TmTWgrmViZc,"A technique to throw the opponent over the shoulder by breaking his balance forward, leaning over his back, holding and lifting his upper body in both arms while laying down the body onto the back."
ura-nage,Rear Throw,ma-sutemi-waza,4,4,gokyo,5,6,judo_4-04_ma-sutemi-waza_ura-nage.gif,https://youtu.be/Fgi9b8DJ5sQ,A technique to throw the opponent over the shoulder by counteracting the opponent’s Nage-waza or other attack and holding and lifting his upper body while laying down the body onto the back.
yoko-otoshi,Side Drop,yoko-sutemi-waza,5,0,sankyo,3,3,judo_5-00_yoko-sutemi-waza_yoko-otoshi.gif,https://youtu.be/MnNG67pF_a0,A technique to pull and throw down the opponent by breaking his balance rightward and laying down the body onto the left side while sliding the left leg toward the outside of his right foot .
tani-otoshi,Valley Drop,yoko-sutemi-waza,5,1,yonkyo,4,2,judo_5-01_yoko-sutemi-waza_tani-otoshi.gif,https://youtu.be/3b9Me3Fohpk,A technique to pull and throw down the opponent by breaking his balance backward and laying down the body onto the left side while sliding the left leg behind him.
hane-makikomi,Spring Wraparound,yoko-sutemi-waza,5,2,yonkyo,4,3,judo_5-02_yoko-sutemi-waza_hane-makikomi.gif,https://youtu.be/6CRBGLGz9j8,A technique to wrap the opponent round and throw down him by applying Hane-goshi and holding his right arm in the right armpit.
soto-makikomi,Outer Wraparound,yoko-sutemi-waza,5,3,yonkyo,4,7,judo_5-03_yoko-sutemi-waza_soto-makikomi.gif,https://youtu.be/bWG9O1BVKtQ,"A technique to wrap the opponent round and throw down him by breaking his balance forward, holding his right arm in the right armpit and thrusting the hip deeply."
uchi-makikomi,Inner Wraparound,yoko-sutemi-waza,5,4,habukareta-waza,6,8,judo_5-04_yoko-sutemi-waza_uchi-makikomi.gif,https://youtu.be/5BowcjduxVc,"A technique to wrap the opponent round and throw down him by breaking his balance forward, holding his right arm from the inside in the right arm and thrusting the hip deeply."
uki-waza,Floating Technique,yoko-sutemi-waza,5,5,gokyo,5,2,judo_5-05_yoko-sutemi-waza_uki-waza.gif,https://youtu.be/weVOpJ63gII,A technique to throw down the opponent by breaking his balance toward the frontal-right corner and stretching the left leg to put it on the outside of his right foot while laying down the body onto the left side and rotating him.
yoko-wakare,Side Separation,yoko-sutemi-waza,5,6,gokyo,5,3,judo_5-06_yoko-sutemi-waza_yoko-wakare.gif,https://youtu.be/bp1tscHlePI,A technique to throw down the opponent by breaking his balance forward and stepping both feet onto the outside of his right foot while laying down the body onto the left side and rotating him over the body.
yoko-guruma,Side Wheel,yoko-sutemi-waza,5,7,gokyo,5,4,judo_5-07_yoko-sutemi-waza_yoko-guruma.gif,https://youtu.be/MehP6I5cY2c,"A technique to rotate and throw down the opponent by counteracting his Nage-waza or other attack, holding his hip with the left arm to break his balance forward, sliding the right leg between his legs from the front while twisting the body and laying down the body onto the left side."
yoko-gake,Side Hook,yoko-sutemi-waza,5,8,gokyo,5,8,judo_5-08_yoko-sutemi-waza_yoko-gake.gif,https://youtu.be/tP1Sj1uDfSo,A technique to throw down the opponent by breaking his balance toward his right small toe and pushing and sweeping his right outer ankle with the left foot while laying down the body onto the left side.
daki-wakare,High Separation,yoko-sutemi-waza,5,9,habukareta-waza,6,5,judo_5-09_yoko-sutemi-waza_daki-wakare.gif,https://youtu.be/Hr0cOMGBDYo,A technique to throw the opponent over the body by holding his upper body from behind when he is about to be on the mat with both hands and feet and twisting the body while laying down the body onto the left side.
o-soto-makikomi,Major Outer Wraparound,yoko-sutemi-waza,5,10,shinmeisho-no-waza,7,14,judo_5-10_yoko-sutemi-waza_o-soto-makikomi.gif,https://youtu.be/DGDv2oMwmas,A technique to wrap the opponent round and throw him down by applying O-soto-gari and holding his right arm in the right armpit.
uchi-mata-makikomi,Inner Thigh Wraparound,yoko-sutemi-waza,5,11,shinmeisho-no-waza,7,17,judo_5-11_yoko-sutemi-waza_uchi-mata-makikomi.gif,https://youtu.be/jZXENTLpJCI,A technique to wrap the opponent round and throw him down by applying Uchi-mata and holding his right arm in the right armpit.
harai-makikomi,Sweeping Wraparound,yoko-sutemi-waza,5,12,shinmeisho-no-waza,7,16,judo_5-12_yoko-sutemi-waza_harai-makikomi.gif,https://youtu.be/VBaHzKaCXss,A technique to wrap the opponent round and throw him down by applying Harai-goshi and holding his right arm in the right armpit.
ko-uchi-makikomi,Minor Inner Wraparound,yoko-sutemi-waza,5,13,uncategorized,8,0,judo_5-13_yoko-sutemi-waza_ko-uchi-makikomi.gif,https://youtu.be/_1eygIXLD_w,A technique to wrap the opponent round and throw him down by breaking his balance backward and hooking the right leg on his right leg from the inside while laying down the body forward.
kani-basami,Crab Claw Scissors,yoko-sutemi-waza,5,14,shinmeisho-no-waza,7,13,judo_5-14_yoko-sutemi-waza_kani-basami.gif,https://youtu.be/OR-HGHnarYc,"A technique to throw down the opponent while holding his lower body with both legs by breaking his balance backward, turning the body toward his left side and putting the right leg on his lower abdomen and the left leg on the backside of both of his knees while laying down the body onto the left side."
kawazu-gake,One-leg Entanglement,yoko-sutemi-waza,5,15,shinmeisho-no-waza,7,15,judo_5-15_yoko-sutemi-waza_kawazu-gake.gif,https://youtu.be/w6G57bWACi0,"A technique to throw down the opponent by drawing him closer, turning the body, hooking the right leg around his left leg from the inside and raising the leg forward while laying down the body with him."
kesa-gatame,Scarf Hold,osaekomi-waza,6,0,uncategorized,8,0,judo_6-00_osaekomi-waza_kesa-gatame.gif,https://youtu.be/NDaQuJOFBYk,A technique to hold down the opponent’s upper body under the right side of the chest region by holding his right arm in the left arm from the right side of the opponent lying on his back and gripping the back of his collar with the right hand.
kesa-gatame:escapes,Scarf Hold Escapes,osaekomi-waza,6,1,uncategorized,8,0,judo_6-01_osaekomi-waza_kesa-gatame:escapes.gif,,
kuzure-kesa-gatame,Modified Scarf Hold,osaekomi-waza,6,2,uncategorized,8,0,judo_6-02_osaekomi-waza_kuzure-kesa-gatame.gif,https://youtu.be/Q2fb9jaoUFQ,A technique to hold down the opponent’s upper body under the right side of the chest region by holding his right arm in the left arm from the right side of the opponent lying on his back and inserting the right arm through his left armpit.
kuzure-kesa-gatame:escapes,Modified Scarf Hold Escapes,osaekomi-waza,6,3,uncategorized,8,0,judo_6-03_osaekomi-waza_kuzure-kesa-gatame:escapes.gif,,
ushiro-kesa-gatame,Rear Scarf Hold,osaekomi-waza,6,4,uncategorized,8,0,judo_6-04_osaekomi-waza_ushiro-kesa-gatame.gif,https://youtu.be/SBapox2M2dE,"A technique to hold down the opponent’s upper body under the left side of the chest region by putting the left hip on the right side of his body from the right side of the opponent lying on his back, holding his right arm in the right arm and holding his upper body in the left arm."
ushiro-kesa-gatame:escapes,Rear Scarf Hold Escapes,osaekomi-waza,6,5,uncategorized,8,0,judo_6-05_osaekomi-waza_ushiro-kesa-gatame:escapes.gif,,
kata-gatame,Shoulder Hold,osaekomi-waza,6,6,uncategorized,8,0,judo_6-06_osaekomi-waza_kata-gatame.gif,https://youtu.be/zQR3IOXxO_Q,A technique to hold down the opponent by holding his right arm and neck with the right side of the neck and both arms from the right side of the opponent lying on his back.
kata-gatame:escapes,Shoulder Hold Escapes,osaekomi-waza,6,7,uncategorized,8,0,judo_6-07_osaekomi-waza_kata-gatame:escapes.gif,,
kami-shiho-gatame,Upper Four-Quarters Hold,osaekomi-waza,6,8,uncategorized,8,0,judo_6-08_osaekomi-waza_kami-shiho-gatame.gif,https://youtu.be/HFuMjOv0WN8,A technique to hold down the opponent’s upper body under the chest and abdomen region by gripping both sides of his belt with both hands from the top side of his head while he is lying on his back.
kami-shiho-gatame:escapes,Upper Four-Quarters Hold Escapes,osaekomi-waza,6,9,uncategorized,8,0,judo_6-09_osaekomi-waza_kami-shiho-gatame:escapes.gif,,
kuzure-kami-shiho-gatame,Modified Upper Four-Quarters Hold,osaekomi-waza,6,10,uncategorized,8,0,judo_6-10_osaekomi-waza_kuzure-kami-shiho-gatame.gif,https://youtu.be/YUrogQWdwiY,A technique to hold down the opponent’s upper body under the chest and abdomen region by holding his right arm in the right arm from the diagonal-right side of his head and gripping the left side of his belt with the left hand while he is lying on his back.
kuzure-kami-shiho-gatame:escapes,Modified Upper Four-Quarters Hold Escapes,osaekomi-waza,6,11,uncategorized,8,0,judo_6-11_osaekomi-waza_kuzure-kami-shiho-gatame:escapes.gif,,
yoko-shiho-gatame,Sideways Four-Quarters Hold,osaekomi-waza,6,12,uncategorized,8,0,judo_6-12_osaekomi-waza_yoko-shiho-gatame.gif,https://youtu.be/TT7XJVSEQxA,A technique to hold down the opponent’s upper body under the chest and abdomen region by grabbing his belt or trousers through his legs with the right hand from the right side of the opponent lying on his back and gripping his left side-collar through the back of his neck with the left hand.
yoko-shiho-gatame:escapes,Sideways Four-Quarters Hold Escapes,osaekomi-waza,6,13,uncategorized,8,0,judo_6-13_osaekomi-waza_yoko-shiho-gatame:escapes.gif,,
tate-shiho-gatame,Vertical Four-Quarters Hold,osaekomi-waza,6,14,uncategorized,8,0,judo_6-14_osaekomi-waza_tate-shiho-gatame.gif,https://youtu.be/55-rFmBx53g,"A technique to hold down the opponent’s upper body under the chest and abdomen region by lying on the stomach over the opponent lying on his back, holding his right arm and neck with both hands and holding his lower body with both legs."
tate-shiho-gatame:escapes,Vertical Four-Quarters Hold Escapes,osaekomi-waza,6,15,uncategorized,8,0,judo_6-15_osaekomi-waza_tate-shiho-gatame:escapes.gif,,
uki-gatame,Floating Hold,osaekomi-waza,6,16,uncategorized,8,0,judo_6-16_osaekomi-waza_uki-gatame.gif,https://youtu.be/e_lAjik1SUM,A technique to hold down the opponent’s upper body with the right leg by holding his right arm with one of the arms or both from the right side of the opponent lying on his back and stretching the left leg backward.
uki-gatame:escapes,Floating Hold Escapes,osaekomi-waza,6,17,uncategorized,8,0,judo_6-17_osaekomi-waza_uki-gatame:escapes.gif,,
ura-gatame,Rear Hold,osaekomi-waza,6,18,uncategorized,8,0,judo_6-18_osaekomi-waza_ura-gatame.gif,https://youtu.be/eeAHZB0v3XY,A technique to hold down the opponent under the back region by holding his right arm with the right arm from the right side of the opponent lying on his back and grabbing his leg with the left hand.
ura-gatame:escapes,Rear Hold Escapes,osaekomi-waza,6,19,uncategorized,8,0,judo_6-19_osaekomi-waza_ura-gatame:escapes.gif,,
nami-juji-jime,Normal Cross Choke,shime-waza,7,0,uncategorized,8,0,judo_7-00_shime-waza_nami-juji-jime.gif,https://youtu.be/k2cHry9HByQ,"A technique to choke the opponent’s neck region by crossing the wrists from the front, gripping his side-collars with both thumbs inside and pushing both hands."
gyaku-juji-jime,Reverse Cross Choke,shime-waza,7,1,uncategorized,8,0,judo_7-01_shime-waza_gyaku-juji-jime.gif,https://youtu.be/t3tQriIPdlI,A technique to choke the opponent’s neck region by crossing the wrists from the front gripping his side-collars with four fingers of both hands inside and tightening arms.
kata-juji-jime,Half Cross Choke,shime-waza,7,2,uncategorized,8,0,judo_7-02_shime-waza_kata-juji-jime.gif,https://youtu.be/3VZVUAmiMD8,"A technique to choke the opponent’s neck region by crossing the wrists from the front gripping his left side-collar with four fingers of the left hand inside and the right side-collar with right thumb inside, pulling the left hand and pushing the right hand."
hadaka-jime,Naked Strangle,shime-waza,7,17,uncategorized,8,0,judo_7-17_shime-waza_hadaka-jime.gif,https://youtu.be/9f0n8jez7iA,A technique to choke the opponent’s neck region without using judogi by putting the right forearm on the opponent’s throat from behind and joining the left arm on it.
okuri-eri-jime,Sliding Collar Choke,shime-waza,7,18,uncategorized,8,0,judo_7-18_shime-waza_okuri-eri-jime.gif,https://youtu.be/EiqyoVcIAi8,"A technique to choke the opponent’s neck region by gripping his left side-collar through his throat with the right hand and the right front-lapel through the left armpit with the left hand from behind, pulling the right hand in a right-rear direction and pulling down the left hand."
kataha-jime,Single Wing Choke,shime-waza,7,19,uncategorized,8,0,judo_7-19_shime-waza_kataha-jime.gif,https://youtu.be/yaTGgRjnwB8,"A technique to choke the opponent’s neck region by gripping his left side-collar through his throat with right hand from behind, inserting the left arm through the left armpit to raise the arm upward, pulling the right hand in a right-rear direction and thrusting the left hand under the right arm."
katate-jime,Single-hand Choke,shime-waza,7,20,uncategorized,8,0,judo_7-20_shime-waza_katate-jime.gif,https://youtu.be/cHeIs-fSqwE,A technique to choke the opponent’s neck region by gripping his right side-collar with the right thumb inside from the left side of the opponent lying on his back.
ryote-jime,Two-hand Choke,shime-waza,7,21,uncategorized,8,0,judo_7-21_shime-waza_ryote-jime.gif,https://youtu.be/-RHC4V7TQiY,A technique to choke the opponent’s neck region with fists from the front by gripping his left side-collar with right thumb inside and the right side-collar with left thumb inside.
sode-guruma-jime,Sleeve Wheel Choke,shime-waza,7,22,uncategorized,8,0,judo_7-22_shime-waza_sode-guruma-jime.gif,https://youtu.be/E3nvQzClcAU,"A technique to choke the opponent’s neck region from the front by putting the right forearm on his throat and the left forearm behind the neck to hold his neck between them, gripping the right cuff with left hand and thrusting the right hand into the right side of his neck."
tsukkomi-jime,Thrusting Choke,shime-waza,7,23,uncategorized,8,0,judo_7-23_shime-waza_tsukkomi-jime.gif,https://youtu.be/dKKpnD3eLcY,A technique to choke the opponent’s neck region from the front by gripping his right front-lapel with the left hand and the left front-lapel with the right hand and thrusting the right hand toward the right side of his neck.
sankaku-jime,Triangle Choke,shime-waza,7,24,uncategorized,8,0,judo_7-24_shime-waza_sankaku-jime.gif,https://youtu.be/lq1CUBRAm7s,A technique to choke the opponent’s neck region by holding his neck and right armpit between both legs and hooking the right foot on the back of the left knee while forming a triangular form.
do-jime,Body Choke,shime-waza,7,25,uncategorized,8,0,judo_7-25_shime-waza_do-jime.gif,https://youtu.be/D_0fFcoIbvY,A technique to choke the opponent by holding his torso region between both legs.
